등급,가격,개봉여부,미세손상,외관손상,내부LCD손상,화면잔상,기능불량,기종,용량
A,457000.0,개봉,"전면, 테두리","전면, 테두리",없음,없음,배터리성능저하,아이폰 12 프로,256GB
C,26000.0,개봉,없음,테두리,없음,없음,없음,G7 ThinQ,64GB
C,130000.0,개봉,테두리,"전면, 테두리",없음,없음,배터리성능저하,갤럭시 노트 10,256GB
D,90000.0,개봉,없음,후면,없음,없음,와이파이,갤럭시 노트 8,64GB
D,329000.0,개봉,테두리,후면,없음,없음,카메라,아이폰 12 프로,256GB
A,988000.0,개봉,"전면, 후면, 테두리","후면, 테두리",없음,없음,카메라,아이폰 15 프로,128GB
D,292000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로,128GB
C,605000.0,개봉,전면,"후면, 테두리",없음,없음,배터리성능저하,아이폰 13 프로맥스,256GB
D,292000.0,개봉,전면,없음,없음,없음,없음,아이폰 12 프로,128GB
D,187000.0,개봉,"전면, 테두리","전면, 테두리",없음,없음,없음,아이폰 11 프로,256GB
D,229000.0,개봉,"전면, 테두리",없음,없음,없음,없음,아이폰 12 프로,128GB
D,345000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,아이폰 13 프로,128GB
A,,개봉,테두리,후면,없음,없음,없음,갤럭시 Z플립 5G,256GB
A,,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,잔상있음,없음,갤럭시 노트 9,128GB
C,267000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 11 프로,256GB
C,110000.0,개봉,테두리,전면,없음,없음,배터리성능저하,갤럭시 노트 9,128GB
C,232000.0,개봉,테두리,전면,LCD 파손,없음,검수중,아이폰 12 프로,128GB
D,394000.0,개봉,테두리,후면,없음,없음,배터리성능저하,아이폰 13,128GB
C,749000.0,개봉,없음,없음,없음,없음,없음,아이폰 14 프로,512GB
E,57000.0,개봉,없음,없음,없음,없음,없음,아이폰 6S 플러스,64GB
C,165000.0,개봉,없음,없음,없음,없음,없음,아이폰 XR,128GB
D,130000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 미니,64GB
